연간 예산	annual budget
제안서	proposal
현재까지	up to now
현장에서	on the spot
선착순	first arrival arrive
들일	farm work, field labor
보험료	premium, insurance
현재의	current
무엇보다도	above all things
독특	peculiar; special; original; unique; characteristic.
습득	acquisition , learn;acquire
모의	plot, conspire
동양인	Asian; Oriental
따뜻한	a warm heart
연이어	continuously
하나의	single
충분	enough, sufficient, ample, plenty
사업과	a business section.
모서리	corner, edge
다음에	next
오늘날의	of the day
부분적으로	partially
유익하다	useful, helpful, valuable;beneficial, advantageous, profitable;instructive, informative;edifying
다음의	next
최고의	top
신체의	physical
극장가	theater district
남아	son, boy;man
장려	encourage , promote, support
당시의	then
맛있어요.	Everything is fine, thank you.
현명하다	wise, sensible;sagacious
첨단의	up-to-date
명백	obviousness; distinctness; patency.
망	net
추상적	abstract
아니에요.	No, thank you.
인생의	human
반면에	on the other hand
현대식	a modern style
탁월	prominence.
무료로	free
상쾌	refreshingness; exhilaration.
그릇된	wrong
생태	ecology
고대의	ancient
최첨단	cutting edge
주도	lead, take the lead
사관	officer
진단서	medical certificate;diagnosis
수준의	a leveling instrument, a surveyors level
거기서부터	from there
중압감	heavy burden; press hard, an oppresive feeling
안전하게	safely
농작물	crop;produce
되	doe , Korean unit of measure
배로	by ship
유용	sth;embezzle;misappropriate
등산로	trail
직면	face , confront, see a person face to face, be confronted by
전년도	the previous;year
유쾌	pleasure; merriment; happiness; enjoyment; mirth; gaiety.
외부의	outside
조장	group
불리	disadvantage, a drawback, a handicap;disadvantageous, unfavorable, adverse
화합	harmonize
현지의	in-the-field
비어	obscenity, obscene language;swear word;expletive
수많은	a lot of
모르는	unknown
냉대	subarctic regions
인해	a human sea, a sea of people
처음으로	for the first time
난해	difficult to understand; hard to make out; knotty; crabbed; cramped; unintelligible; illegible; abstruse.
수직으로	perpendicularly
본관	main building
할인율	discount rate
날카롭게	sharply
발생률	the incidence
하루에	per diem
유익	;instructive, edifying, wholesome;useful, serviceable
교육계	the educational world, educational circles
왔다	be here
공모	invite public participation
의	justice, righteousness
그의	his
있다가	afterward; later ; after a time .
중대	important , significant , crucial , critical, vital , weighty;serious, grave
옆으로	on one side
어렵게	with difficulty
전파	spread, propagation;diffusion;dissemination, spread, propagate;diffuse;disseminate
판매량	sales volume
종전	the end (termination)
옛날부터	from old times
편하게	easily
뻥	pop
일다	rise;blow;lather;form
외국의	foreign
연구가	a student, an investigator, a research worker
아열대의	subtropic
로고	logo
부응	meet, satisfy, gratify, fulfill, answer, suit
편성	form, organize, make;draw up, make up
방대	?
하락세	downturn, downtrend, downward trend
초연	premiere
불미	;bad; unfavorable; unsavory; nasty; unworthy; scandalous; disgraceful; ugly; shameful.
개인의	individual
복잡	complexity; complication; intricacy.
탑승자	a passenger
기준치	thresholds 
도시의	city
인정	admit, acknowledge, accept;concede;recognize
밤낮으로	day and night
통신의	communicative
복리	welfare, well-being, weal, good
신상품	new product
경로	course, route;channel
양성	training, train, foster, educate, cultivate
시급하다	urgent, pressing;exigent
저항력	resistance
어린	scales
영화가	the cinema quarters
가려	;graceful; elegant.
위독	a critical ill, be in a critical condition
안쪽에서	from the inside
그들의	their
접어	an affix.
추운	an autumn cloud
보험금	insurance
빈번	frequency.
최근의	latest
왕의	royal
떨치다	shake , put aside, cast off, banish, rid oneself of
정치의	fixed
첨예	;radical.
영리	profit
자연의	natural
밀접	;close , intimate
지은	being conscious of a kindness, sense of gratitude, being grateful ; be grateful, feel indebted to
참가비	entry fee
밀고	;squeal;rat on;grass
의외의	unexpected
심고	a bowstring loop.
공동체	community
빠르게	fast, quick, rapid, speedy, swift
예정대로	according to program
최초의	the first
활성화	vitalize, invigorate, energize
최종적으로	lastly
그때마다	on all such occasions
밑으로	down
뒤에	the next
폐기	discard, scrap
온전하게	soundly
사방에	on every side
부차적	secondary, minor, peripheral
설	Lunar New Year's Day, New Year's Day in the lunar calendar
하십시오	please ); I would advise you to ).
아래에	beneath
어디까지나	through thick and thin,
하면	estivation; estivate
철저	thoroughness, exhaustiveness;thorough, thoroughgoing, exhaustive, radical, drastic, downright, out-and-out
환경부	Ministry of Environment
수강료	tuition
상하로	above and below
한결같이	constantly, as ever
국민의	national
촉진	expedite promotion, acceleration, promote, accelerate, boost,
내년도	next year
발휘	display, exhibition, display, exhibit, show
사무원	a clerk, an office clerk
듯이	like, as, as...as, as if
배기	exhaust
하신	a channel.
어른의	adult
등장	appear, make an appearance, come on
사이에	between
고정된	fixed
부서진	broken
진지하게	earnestly
안기다	embrace, hold
좌우로	from side to side
감당	handle, manage, deal , cope;afford
신선	Taoist hermit with miraculous powers
회복세	recover, restore, regain, get back
진실성	honesty;veracity
가도	highway, thoroughfare
해도	chart
충족	satisfy;gratify, meet
엄청나게	awfully
고립된	isolated
막론하고	regardless of, irrespective of, no matter what
예상외로	unexpectedly
내포	connotation, intention, comprehension; connote, contain, involve
주력	main force
저기에	there
그야	it, that
신통	wonderful, marvelous, extraordinary, admirable
만무하다	cannot be, be hardly possible , be not likely at all , be out of the question, there is no reason why
주안점	focus;emphasis
조작	operate, control, handle, work, manipulate
비운	empty;drain
구직자	job hunter;job seeker
그럼요.	I agree with you totally.
어떻든지	anyway, anyhow, at any rate, in any case, at all events, regardless, whether or not
정의	definition , define
실용성	practicality
즐겨	by .
세부	details, particulars, the fine parts
갑시다	be choked , be stifled , be suffocated , get choked
할	ten percent
반가운	happy
있잖아요.	You know what?
오늘따라	today of all days
밤중에	at midnight
고령	old age, advanced age
더불어	together , along with;in company with
확실	certainty; trustworthiness; reliability; authenticity.
눈앞에서	before one's;eyes
낮에	in the daytime
가벼운	light
소박	simple (and honest)
아끼는	prize, value, hold dear
처음에	at first
이곳으로	here
조심	be careful, beware , watch
미술사	art history
마비	numb
주운	transportation by ship.
외관상	externally
매도	sell
사려	Thought, consideration, discretion
강해	explanation, elucidation, explication, exposition; explain, elucidate, explicate, expound
어머니의	maternal
강력	strong, powerful
외적	external
상류층	the upper class, the high class;the upper crust
애써	with effort; laboriously; diligently; hard; painfully.
생일에	on one's birthday
교묘	skill; dexterity; cleverness; ingenuity; adroitness.
한정된	limited
주위의	surrounding
해결책	solution
매몰	burying, bury, be buried
속에	amid
현실화	actualization, realization, materialization
충동적	impulsive, impetuous
동그랗게	round
대출금	loan
을	the 2nd of the 10 celestial stems;the second, B, the latter
손쉽게	easily, with ease, without difficulty, readily
살모넬라균	a salmonella , ~e)
화해	reconcile , be reconciled , make up , make;peace
한해	a year, one year
소지	possession;possess;bear, carry
수량	amount, quantity, volume
록	rock
톡	sharply, prickly, spicely
일상의	everyday
수습	probation
수산	providing employment
일종의	a kind of
지리적	geographical
물리적	physical
미지의	unknown
실효성	effectiveness
타당한	a valid method
내면의	inner
일차적	primary, chief
비타민 이	vitamin E
식물의	vegetable
눌러	continuously; uninterruptedly; without intermission ; at a stretch; in succession; successively; running.
전수	learn
불필요	needlessness, unnecessariness;unnecessary, needless, unessential, superfluous, uncalled for
편안	security;safety;safe, secure
옹호	protection, safeguard;cover;support, assistance, backing;defense, vindication, support, back up, protect, defend, safeguard, cover, stand by, take under one's wings
전략적	strategic, tactical
범	tiger;tigress
선발	selection, select, pick out, single out;draft
수료증	certificate
중년층	the middle-aged
팽팽하다	tight, taut
노후	worn out, decrepit, time-worn
성장한	grown-up
통계청	National Statistical Office
알았어!	Get stuffed!
준수	obey, follow, abide by, conform to, comply
